,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
8741,984,,388 Slocan,Completed,2024,YWCA Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=984,POINT (-123.04884634 49.28142299),Hastings-Sunrise,35,Design,Standard 1BR
8742,988,,8559 Jack Uppal St,Completed,2025,Sawmill Co-op,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=988,POINT (-123.03388168 49.20633158),Killarney,38,Design,Standard 1BR
8750,27,,5709 Wales St,Completed,1994,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=27,POINT (-123.05213397 49.23246527),Victoria-Fraserview,1,Design,Standard 1BR
8752,30,,325 E 6th Ave,Completed,1969,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=30,POINT (-123.09776676 49.26570816),Mount Pleasant,2,Design,Standard 1BR
8753,31,,330 E 6th Ave,Completed,1975,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=31,POINT (-123.09804729 49.26518737),Mount Pleasant,7,Design,Standard 1BR
8754,37,,730 W 6th Ave,Completed,1992,Stan Stronge Noble House Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=37,POINT (-123.12056203 49.26564344),Fairview,6,Design,Standard 1BR
8755,41,,775 E 7th Ave,Completed,1984,Jasmine Place Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=41,POINT (-123.08761087 49.2645604),Mount Pleasant,6,Design,Standard 1BR
8756,43,,430 Dunlevy Ave,Completed,1993,Chinese United Church,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=43,POINT (-123.09501291 49.28055897),Strathcona,17,Design,Standard 1BR
8757,44,,1216 E 7th Ave,Completed,1981,Coast Mental Health,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=44,POINT (-123.07890671 49.26397621),Mount Pleasant,6,Design,Standard 1BR
8758,52,,1330 E 8th Ave,Completed,1985,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=52,POINT (-123.07666847 49.263058),Grandview-Woodland,7,Design,Standard 1BR
8759,55,,2053 W 8th Ave,Completed,1986,Maple Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=55,POINT (-123.15173449 49.26495895),Kitsilano,14,Design,Standard 1BR
8760,57,,951 E 8th Ave,Completed,1978,Anavets Senior Citizens Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=57,POINT (-123.08405019 49.26362938),Mount Pleasant,5,Design,Standard 1BR
8761,62,,1842 E 10th Ave,Completed,1989,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=62,POINT (-123.06693953 49.26108247),Kensington-Cedar Cottage,45,Design,Standard 1BR
8762,65,,1823 E 11th Ave,Completed,1990,Victoria Gardens Co-op Housing Assoc,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=65,POINT (-123.06745152 49.26070528),Kensington-Cedar Cottage,6,Design,Standard 1BR
8763,68,,2075 E 12th Ave,Completed,1983,Lakewood Terrace Co-op Housing Assoc,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=68,POINT (-123.06277581 49.25992897),Kensington-Cedar Cottage,12,Design,Standard 1BR
